Event,Date,Time,Latitude,Longitude,Depth(km),Intensity,Magnitude,Type Mag,Location
es2022gdhkh,2022-03-29,03:54:35,28.2425,-16.6874,15.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022gdgsz,2022-03-29,03:34:31,28.2437,-16.6889,12.0,,1.3,4,NE GUÍA DE ISORA.ITF
es2022gdaxf,2022-03-29,00:37:33,28.1617,-16.6204,2.0,,0.3,4,NE VILAFLOR DE CHASNA.ITF
es2022gcqgp,2022-03-28,19:15:09,28.2487,-16.6875,13.0,,1.4,4,NE GUÍA DE ISORA.ITF
es2022gcqgl,2022-03-28,19:14:56,28.2404,-16.6905,13.0,,1.0,4,NE GUÍA DE ISORA.ITF
es2022fxdfv,2022-03-25,19:00:24,28.1567,-16.728,5.0,,0.8,4,N ADEJE.ITF
es2022fwmxf,2022-03-25,10:45:19,28.2787,-16.5464,2.0,,0.3,4,NW FASNIA.ITF
es2022fuejb,2022-03-24,04:10:22,28.276,-16.3629,23.0,,1.7,4,SE GÜÍMAR.ITF
es2022fswkb,2022-03-23,11:01:04,28.1894,-16.1985,9.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022fqwix,2022-03-22,08:43:47,28.1659,-16.7359,11.0,,0.7,4,NW ADEJE.ITF
es2022fqtab,2022-03-22,07:02:31,28.1954,-16.2707,26.0,,1.0,4,ATLÁNTICO-CANARIAS
es2022fpuah,2022-03-21,18:25:25,28.2328,-16.6743,8.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022fpqyd,2022-03-21,16:51:41,28.2211,-16.6789,12.0,,1.0,4,NW VILAFLOR DE CHASNA.ITF
es2022fpqxi,2022-03-21,16:51:24,28.2331,-16.6853,13.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022fpjml,2022-03-21,13:05:58,28.2089,-16.2758,33.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022foaam,2022-03-20,19:11:11,28.09,-16.4414,29.0,,1.7,4,SE ARICO.ITF
es2022fmjlu,2022-03-19,21:41:11,28.1564,-16.2581,25.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022fmbwn,2022-03-19,17:51:14,28.188,-16.4284,16.0,,1.1,4,E ARICO.ITF
es2022flbwo,2022-03-19,04:43:18,28.391,-16.5703,17.0,,1.1,4,NE LOS REALEJOS.ITF
es2022fkqqm,2022-03-18,23:02:44,28.1914,-16.4117,29.0,,1.5,4,SE FASNIA.ITF
es2022fjtix,2022-03-18,11:16:55,28.3406,-16.7257,11.0,,1.4,4,SW ICOD DE LOS VINOS.ITF
es2022fhmbv,2022-03-17,05:20:31,28.2472,-16.7001,15.0,,1.3,4,NE GUÍA DE ISORA.ITF
es2022fhlwm,2022-03-17,05:14:27,28.2295,-16.6855,13.0,,1.1,4,E GUÍA DE ISORA.ITF
es2022fhdjb,2022-03-17,00:56:11,28.2418,-16.7076,13.0,,0.9,4,NE GUÍA DE ISORA.ITF
es2022fhdiv,2022-03-17,00:55:56,28.2453,-16.6872,12.0,,0.7,4,NE GUÍA DE ISORA.ITF
es2022fgrmn,2022-03-16,18:56:33,28.2404,-16.6891,13.0,,1.0,4,NE GUÍA DE ISORA.ITF
es2022fgrmk,2022-03-16,18:56:24,28.215,-16.6882,13.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022ffdna,2022-03-15,22:44:50,28.2716,-16.5503,3.0,,1.0,4,NW FASNIA.ITF
es2022fdvvx,2022-03-15,05:44:41,28.1443,-16.2437,26.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022fbfvz,2022-03-13,19:23:55,28.1686,-16.66,8.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022fajqy,2022-03-13,08:11:10,28.0532,-16.1453,21.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022faacc,2022-03-13,03:21:13,28.1979,-16.4595,12.0,,0.1,4,NE ARICO.ITF
es2022ezwbg,2022-03-13,01:18:56,28.2324,-16.6929,12.0,,0.6,4,NE GUÍA DE ISORA.ITF
es2022eybxn,2022-03-12,02:00:26,28.0094,-16.4086,22.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022ewzji,2022-03-11,11:35:26,28.2622,-16.6371,3.0,,0.8,4,N VILAFLOR DE CHASNA.ITF
es2022ewpiv,2022-03-11,06:31:43,28.0472,-16.3127,22.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022ewmps,2022-03-11,05:08:48,28.098,-16.2342,5.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022ewkse,2022-03-11,04:11:03,28.0883,-16.2772,8.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022euoom,2022-03-10,03:52:01,28.003,-16.2903,18.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022erdph,2022-03-08,06:55:37,28.0074,-16.1981,12.0,,2.0,4,ATLÁNTICO-CANARIAS
es2022ercbw,2022-03-08,06:09:38,28.1167,-16.2829,2.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022epetc,2022-03-07,05:14:23,28.1364,-16.6744,9.0,,0.3,4,N ARONA.ITF
es2022eopkk,2022-03-06,21:29:39,28.0694,-16.2048,13.0,,2.0,4,ATLÁNTICO-CANARIAS
es2022enani,2022-03-06,00:50:26,28.2279,-16.6746,10.0,,1.1,4,NW VILAFLOR DE CHASNA.ITF
es2022eiseu,2022-03-03,16:06:03,28.1606,-16.7339,5.0,,0.4,4,NW ADEJE.ITF
es2022ehoqq,2022-03-03,01:10:39,28.1455,-16.4011,16.0,,1.5,4,SE ARICO.ITF
es2022ecmne,2022-02-28,06:26:03,27.9957,-16.0908,27.0,,1.3,4,ATLÁNTICO-CANARIAS
es2022ebjos,2022-02-27,15:48:56,28.2055,-16.4917,16.0,,1.1,4,NW ARICO.ITF
es2022dzmtk,2022-02-26,15:09:20,28.2637,-16.6385,3.0,,1.2,4,N VILAFLOR DE CHASNA.ITF
es2022dzgon,2022-02-26,12:01:49,28.139,-16.6655,10.0,,0.8,4,SW VILAFLOR DE CHASNA.ITF
es2022dyucq,2022-02-26,05:44:15,27.9811,-16.1072,15.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022dymdu,2022-02-26,01:43:09,28.1172,-16.2509,9.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022dyllm,2022-02-26,01:21:43,28.1014,-16.1812,7.0,,2.1,4,ATLÁNTICO-CANARIAS
